caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,justiceName,vote,opinion,direction,majority,firstAgreement,secondAgreement
2016-003,2016-003-01,2016-003-01-01,2016-003-01-01-01-01,4/19/17,1,,137 S. Ct. 1266,197 L. Ed. 2d 599,2017 U.S. LEXIS 2616,2016,1706,Roberts,15-7250,MANRIQUE v. UNITED STATES,10/11/16,,126,,27,,1,,,0,58,,31,,0,12,9,1,1,2,0,0,0,0,90330,9,1,0,3,,4,400,NA,108,111,1,6,2,111,JGRoberts,1,1,1,2,,
2016-003,2016-003-01,2016-003-01-01,2016-003-01-01-01-02,4/19/17,1,,137 S. Ct. 1266,197 L. Ed. 2d 599,2017 U.S. LEXIS 2616,2016,1706,Roberts,15-7250,MANRIQUE v. UNITED STATES,10/11/16,,126,,27,,1,,,0,58,,31,,0,12,9,1,1,2,0,0,0,0,90330,9,1,0,3,,4,400,NA,108,111,1,6,2,106,AMKennedy,1,1,1,2,,
2016-003,2016-003-01,2016-003-01-01,2016-003-01-01-01-03,4/19/17,1,,137 S. Ct. 1266,197 L. Ed. 2d 599,2017 U.S. LEXIS 2616,2016,1706,Roberts,15-7250,MANRIQUE v. UNITED STATES,10/11/16,,126,,27,,1,,,0,58,,31,,0,12,9,1,1,2,0,0,0,0,90330,9,1,0,3,,4,400,NA,108,111,1,6,2,108,CThomas,1,2,1,2,,
2016-003,2016-003-01,2016-003-01-01,2016-003-01-01-01-04,4/19/17,1,,137 S. Ct. 1266,197 L. Ed. 2d 599,2017 U.S. LEXIS 2616,2016,1706,Roberts,15-7250,MANRIQUE v. UNITED STATES,10/11/16,,126,,27,,1,,,0,58,,31,,0,12,9,1,1,2,0,0,0,0,90330,9,1,0,3,,4,400,NA,108,111,1,6,2,109,RBGinsburg,2,2,2,1,,
2016-003,2016-003-01,2016-003-01-01,2016-003-01-01-01-05,4/19/17,1,,137 S. Ct. 1266,197 L. Ed. 2d 599,2017 U.S. LEXIS 2616,2016,1706,Roberts,15-7250,MANRIQUE v. UNITED STATES,10/11/16,,126,,27,,1,,,0,58,,31,,0,12,9,1,1,2,0,0,0,0,90330,9,1,0,3,,4,400,NA,108,111,1,6,2,110,SGBreyer,1,1,1,2,,
2016-003,2016-003-01,2016-003-01-01,2016-003-01-01-01-06,4/19/17,1,,137 S. Ct. 1266,197 L. Ed. 2d 599,2017 U.S. LEXIS 2616,2016,1706,Roberts,15-7250,MANRIQUE v. UNITED STATES,10/11/16,,126,,27,,1,,,0,58,,31,,0,12,9,1,1,2,0,0,0,0,90330,9,1,0,3,,4,400,NA,108,111,1,6,2,112,SAAlito,1,1,1,2,,
2016-003,2016-003-01,2016-003-01-01,2016-003-01-01-01-07,4/19/17,1,,137 S. Ct. 1266,197 L. Ed. 2d 599,2017 U.S. LEXIS 2616,2016,1706,Roberts,15-7250,MANRIQUE v. UNITED STATES,10/11/16,,126,,27,,1,,,0,58,,31,,0,12,9,1,1,2,0,0,0,0,90330,9,1,0,3,,4,400,NA,108,111,1,6,2,113,SSotomayor,2,1,2,1,109,
2016-003,2016-003-01,2016-003-01-01,2016-003-01-01-01-08,4/19/17,1,,137 S. Ct. 1266,197 L. Ed. 2d 599,2017 U.S. LEXIS 2616,2016,1706,Roberts,15-7250,MANRIQUE v. UNITED STATES,10/11/16,,126,,27,,1,,,0,58,,31,,0,12,9,1,1,2,0,0,0,0,90330,9,1,0,3,,4,400,NA,108,111,1,6,2,114,EKagan,1,1,1,2,,
2016-003,2016-003-01,2016-003-01-01,2016-003-01-01-01-09,4/19/17,1,,137 S. Ct. 1266,197 L. Ed. 2d 599,2017 U.S. LEXIS 2616,2016,1706,Roberts,15-7250,MANRIQUE v. UNITED STATES,10/11/16,,126,,27,,1,,,0,58,,31,,0,12,9,1,1,2,0,0,0,0,90330,9,1,0,3,,4,400,NA,108,111,1,6,2,115,NMGorsuch,,,,,,
2016-004,2016-004-01,2016-004-01-01,2016-004-01-01-01-01,12/6/16,1,,137 S. Ct. 420,196 L. Ed. 2d 351,2016 U.S. LEXIS 7418,2016,1705,Roberts,15-628,SALMAN v. UNITED STATES,10/5/16,,100,,27,,1,105,,0,29,,50,,0,4,2,1,1,2,0,0,0,0,10450,1,1,0,7,4,3,365,NA,112,111,1,8,0,111,JGRoberts,1,1,1,2,,
2016-004,2016-004-01,2016-004-01-01,2016-004-01-01-01-02,12/6/16,1,,137 S. Ct. 420,196 L. Ed. 2d 351,2016 U.S. LEXIS 7418,2016,1705,Roberts,15-628,SALMAN v. UNITED STATES,10/5/16,,100,,27,,1,105,,0,29,,50,,0,4,2,1,1,2,0,0,0,0,10450,1,1,0,7,4,3,365,NA,112,111,1,8,0,106,AMKennedy,1,1,1,2,,
2016-004,2016-004-01,2016-004-01-01,2016-004-01-01-01-03,12/6/16,1,,137 S. Ct. 420,196 L. Ed. 2d 351,2016 U.S. LEXIS 7418,2016,1705,Roberts,15-628,SALMAN v. UNITED STATES,10/5/16,,100,,27,,1,105,,0,29,,50,,0,4,2,1,1,2,0,0,0,0,10450,1,1,0,7,4,3,365,NA,112,111,1,8,0,108,CThomas,1,1,1,2,,
2016-004,2016-004-01,2016-004-01-01,2016-004-01-01-01-04,12/6/16,1,,137 S. Ct. 420,196 L. Ed. 2d 351,2016 U.S. LEXIS 7418,2016,1705,Roberts,15-628,SALMAN v. UNITED STATES,10/5/16,,100,,27,,1,105,,0,29,,50,,0,4,2,1,1,2,0,0,0,0,10450,1,1,0,7,4,3,365,NA,112,111,1,8,0,109,RBGinsburg,1,1,1,2,,
2016-004,2016-004-01,2016-004-01-01,2016-004-01-01-01-05,12/6/16,1,,137 S. Ct. 420,196 L. Ed. 2d 351,2016 U.S. LEXIS 7418,2016,1705,Roberts,15-628,SALMAN v. UNITED STATES,10/5/16,,100,,27,,1,105,,0,29,,50,,0,4,2,1,1,2,0,0,0,0,10450,1,1,0,7,4,3,365,NA,112,111,1,8,0,110,SGBreyer,1,1,1,2,,
2016-004,2016-004-01,2016-004-01-01,2016-004-01-01-01-06,12/6/16,1,,137 S. Ct. 420,196 L. Ed. 2d 351,2016 U.S. LEXIS 7418,2016,1705,Roberts,15-628,SALMAN v. UNITED STATES,10/5/16,,100,,27,,1,105,,0,29,,50,,0,4,2,1,1,2,0,0,0,0,10450,1,1,0,7,4,3,365,NA,112,111,1,8,0,112,SAAlito,1,2,1,2,,
2016-004,2016-004-01,2016-004-01-01,2016-004-01-01-01-07,12/6/16,1,,137 S. Ct. 420,196 L. Ed. 2d 351,2016 U.S. LEXIS 7418,2016,1705,Roberts,15-628,SALMAN v. UNITED STATES,10/5/16,,100,,27,,1,105,,0,29,,50,,0,4,2,1,1,2,0,0,0,0,10450,1,1,0,7,4,3,365,NA,112,111,1,8,0,113,SSotomayor,1,1,1,2,,
2016-004,2016-004-01,2016-004-01-01,2016-004-01-01-01-08,12/6/16,1,,137 S. Ct. 420,196 L. Ed. 2d 351,2016 U.S. LEXIS 7418,2016,1705,Roberts,15-628,SALMAN v. UNITED STATES,10/5/16,,100,,27,,1,105,,0,29,,50,,0,4,2,1,1,2,0,0,0,0,10450,1,1,0,7,4,3,365,NA,112,111,1,8,0,114,EKagan,1,1,1,2,,
2016-005,2016-005-01,2016-005-01-01,2016-005-01-01-01-01,3/21/17,1,,137 S. Ct. 911,197 L. Ed. 2d 312,2017 U.S. LEXIS 2021,2016,1705,Roberts,14-9496,MANUEL v. CITY OF JOLIET,10/5/16,,110,,3,17,1,,,0,66,,27,,0,2,2,1,1,4,0,1,0,0,10050,1,2,0,2,,2,205,NA,114,111,1,6,2,111,JGRoberts,1,1,2,2,0,0
2016-005,2016-005-01,2016-005-01-01,2016-005-01-01-01-02,3/21/17,1,,137 S. Ct. 911,197 L. Ed. 2d 312,2017 U.S. LEXIS 2021,2016,1705,Roberts,14-9496,MANUEL v. CITY OF JOLIET,10/5/16,,110,,3,17,1,,,0,66,,27,,0,2,2,1,1,4,0,1,0,0,10050,1,2,0,2,,2,205,NA,114,111,1,6,2,106,AMKennedy,1,1,2,2,0,0
2016-005,2016-005-01,2016-005-01-01,2016-005-01-01-01-03,3/21/17,1,,137 S. Ct. 911,197 L. Ed. 2d 312,2017 U.S. LEXIS 2021,2016,1705,Roberts,14-9496,MANUEL v. CITY OF JOLIET,10/5/16,,110,,3,17,1,,,0,66,,27,,0,2,2,1,1,4,0,1,0,0,10050,1,2,0,2,,2,205,NA,114,111,1,6,2,108,CThomas,2,2,1,1,112,0
2016-005,2016-005-01,2016-005-01-01,2016-005-01-01-01-04,3/21/17,1,,137 S. Ct. 911,197 L. Ed. 2d 312,2017 U.S. LEXIS 2021,2016,1705,Roberts,14-9496,MANUEL v. CITY OF JOLIET,10/5/16,,110,,3,17,1,,,0,66,,27,,0,2,2,1,1,4,0,1,0,0,10050,1,2,0,2,,2,205,NA,114,111,1,6,2,109,RBGinsburg,1,1,2,2,0,0
2016-005,2016-005-01,2016-005-01-01,2016-005-01-01-01-05,3/21/17,1,,137 S. Ct. 911,197 L. Ed. 2d 312,2017 U.S. LEXIS 2021,2016,1705,Roberts,14-9496,MANUEL v. CITY OF JOLIET,10/5/16,,110,,3,17,1,,,0,66,,27,,0,2,2,1,1,4,0,1,0,0,10050,1,2,0,2,,2,205,NA,114,111,1,6,2,110,SGBreyer,1,1,2,2,0,0
2016-005,2016-005-01,2016-005-01-01,2016-005-01-01-01-06,3/21/17,1,,137 S. Ct. 911,197 L. Ed. 2d 312,2017 U.S. LEXIS 2021,2016,1705,Roberts,14-9496,MANUEL v. CITY OF JOLIET,10/5/16,,110,,3,17,1,,,0,66,,27,,0,2,2,1,1,4,0,1,0,0,10050,1,2,0,2,,2,205,NA,114,111,1,6,2,112,SAAlito,2,2,1,1,0,0
