caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,justiceName,vote,opinion,direction,majority,firstAgreement,secondAgreement
2016-003,2016-003-01,2016-003-01-01,2016-003-01-01-01-01,4/19/17,1,,137 S. Ct. 1266,197 L. Ed. 2d 599,2017 U.S. LEXIS 2616,2016,1706,Roberts,15-7250,MANRIQUE v. UNITED STATES,10/11/16,,126,,27,,1,,,0,58,,31,,0,12,9,1,1,2,0,0,0,0,90330,9,1,0,3,,4,400,NA,108,111,1,6,2,111,JGRoberts,1,1,1,2,,
2016-003,2016-003-01,2016-003-01-01,2016-003-01-01-01-02,4/19/17,1,,137 S. Ct. 1266,197 L. Ed. 2d 599,2017 U.S. LEXIS 2616,2016,1706,Roberts,15-7250,MANRIQUE v. UNITED STATES,10/11/16,,126,,27,,1,,,0,58,,31,,0,12,9,1,1,2,0,0,0,0,90330,9,1,0,3,,4,400,NA,108,111,1,6,2,106,AMKennedy,1,1,1,2,,
2016-003,2016-003-01,2016-003-01-01,2016-003-01-01-01-03,4/19/17,1,,137 S. Ct. 1266,197 L. Ed. 2d 599,2017 U.S. LEXIS 2616,2016,1706,Roberts,15-7250,MANRIQUE v. UNITED STATES,10/11/16,,126,,27,,1,,,0,58,,31,,0,12,9,1,1,2,0,0,0,0,90330,9,1,0,3,,4,400,NA,108,111,1,6,2,108,CThomas,1,2,1,2,,
2016-003,2016-003-01,2016-003-01-01,2016-003-01-01-01-04,4/19/17,1,,137 S. Ct. 1266,197 L. Ed. 2d 599,2017 U.S. LEXIS 2616,2016,1706,Roberts,15-7250,MANRIQUE v. UNITED STATES,10/11/16,,126,,27,,1,,,0,58,,31,,0,12,9,1,1,2,0,0,0,0,90330,9,1,0,3,,4,400,NA,108,111,1,6,2,109,RBGinsburg,2,2,2,1,,
2016-003,2016-003-01,2016-003-01-01,2016-003-01-01-01-05,4/19/17,1,,137 S. Ct. 1266,197 L. Ed. 2d 599,2017 U.S. LEXIS 2616,2016,1706,Roberts,15-7250,MANRIQUE v. UNITED STATES,10/11/16,,126,,27,,1,,,0,58,,31,,0,12,9,1,1,2,0,0,0,0,90330,9,1,0,3,,4,400,NA,108,111,1,6,2,110,SGBreyer,1,1,1,2,,
2016-003,2016-003-01,2016-003-01-01,2016-003-01-01-01-06,4/19/17,1,,137 S. Ct. 1266,197 L. Ed. 2d 599,2017 U.S. LEXIS 2616,2016,1706,Roberts,15-7250,MANRIQUE v. UNITED STATES,10/11/16,,126,,27,,1,,,0,58,,31,,0,12,9,1,1,2,0,0,0,0,90330,9,1,0,3,,4,400,NA,108,111,1,6,2,112,SAAlito,1,1,1,2,,
2016-003,2016-003-01,2016-003-01-01,2016-003-01-01-01-07,4/19/17,1,,137 S. Ct. 1266,197 L. Ed. 2d 599,2017 U.S. LEXIS 2616,2016,1706,Roberts,15-7250,MANRIQUE v. UNITED STATES,10/11/16,,126,,27,,1,,,0,58,,31,,0,12,9,1,1,2,0,0,0,0,90330,9,1,0,3,,4,400,NA,108,111,1,6,2,113,SSotomayor,2,1,2,1,109,
2016-003,2016-003-01,2016-003-01-01,2016-003-01-01-01-08,4/19/17,1,,137 S. Ct. 1266,197 L. Ed. 2d 599,2017 U.S. LEXIS 2616,2016,1706,Roberts,15-7250,MANRIQUE v. UNITED STATES,10/11/16,,126,,27,,1,,,0,58,,31,,0,12,9,1,1,2,0,0,0,0,90330,9,1,0,3,,4,400,NA,108,111,1,6,2,114,EKagan,1,1,1,2,,
2016-003,2016-003-01,2016-003-01-01,2016-003-01-01-01-09,4/19/17,1,,137 S. Ct. 1266,197 L. Ed. 2d 599,2017 U.S. LEXIS 2616,2016,1706,Roberts,15-7250,MANRIQUE v. UNITED STATES,10/11/16,,126,,27,,1,,,0,58,,31,,0,12,9,1,1,2,0,0,0,0,90330,9,1,0,3,,4,400,NA,108,111,1,6,2,115,NMGorsuch,,,,,,
2016-010,2016-010-01,2016-010-01-01,2016-010-01-01-01-01,5/1/17,1,,137 S. Ct. 1312,197 L. Ed. 2d 663,2017 U.S. LEXIS 2802,2016,1706,Roberts,15-423,BOLIVARIAN REPUBLIC OF VENEZUELA  v. HELMERICH & PAYNE INTERNATIONAL DRILLING CO.,11/2/16,,24,,184,,1,,,0,55,,32,,0,11,6,2,1,5,0,1,0,0,90320,9,1,,4,,6,600,Foreign Sovereign Immunities Act of 1976,110,111,1,8,0,111,JGRoberts,1,1,1,2,,
2016-010,2016-010-01,2016-010-01-01,2016-010-01-01-01-02,5/1/17,1,,137 S. Ct. 1312,197 L. Ed. 2d 663,2017 U.S. LEXIS 2802,2016,1706,Roberts,15-423,BOLIVARIAN REPUBLIC OF VENEZUELA  v. HELMERICH & PAYNE INTERNATIONAL DRILLING CO.,11/2/16,,24,,184,,1,,,0,55,,32,,0,11,6,2,1,5,0,1,0,0,90320,9,1,,4,,6,600,Foreign Sovereign Immunities Act of 1976,110,111,1,8,0,106,AMKennedy,1,1,1,2,,
2016-010,2016-010-01,2016-010-01-01,2016-010-01-01-01-03,5/1/17,1,,137 S. Ct. 1312,197 L. Ed. 2d 663,2017 U.S. LEXIS 2802,2016,1706,Roberts,15-423,BOLIVARIAN REPUBLIC OF VENEZUELA  v. HELMERICH & PAYNE INTERNATIONAL DRILLING CO.,11/2/16,,24,,184,,1,,,0,55,,32,,0,11,6,2,1,5,0,1,0,0,90320,9,1,,4,,6,600,Foreign Sovereign Immunities Act of 1976,110,111,1,8,0,108,CThomas,1,1,1,2,,
2016-010,2016-010-01,2016-010-01-01,2016-010-01-01-01-04,5/1/17,1,,137 S. Ct. 1312,197 L. Ed. 2d 663,2017 U.S. LEXIS 2802,2016,1706,Roberts,15-423,BOLIVARIAN REPUBLIC OF VENEZUELA  v. HELMERICH & PAYNE INTERNATIONAL DRILLING CO.,11/2/16,,24,,184,,1,,,0,55,,32,,0,11,6,2,1,5,0,1,0,0,90320,9,1,,4,,6,600,Foreign Sovereign Immunities Act of 1976,110,111,1,8,0,109,RBGinsburg,1,1,1,2,,
2016-010,2016-010-01,2016-010-01-01,2016-010-01-01-01-05,5/1/17,1,,137 S. Ct. 1312,197 L. Ed. 2d 663,2017 U.S. LEXIS 2802,2016,1706,Roberts,15-423,BOLIVARIAN REPUBLIC OF VENEZUELA  v. HELMERICH & PAYNE INTERNATIONAL DRILLING CO.,11/2/16,,24,,184,,1,,,0,55,,32,,0,11,6,2,1,5,0,1,0,0,90320,9,1,,4,,6,600,Foreign Sovereign Immunities Act of 1976,110,111,1,8,0,110,SGBreyer,1,2,1,2,,
2016-010,2016-010-01,2016-010-01-01,2016-010-01-01-01-06,5/1/17,1,,137 S. Ct. 1312,197 L. Ed. 2d 663,2017 U.S. LEXIS 2802,2016,1706,Roberts,15-423,BOLIVARIAN REPUBLIC OF VENEZUELA  v. HELMERICH & PAYNE INTERNATIONAL DRILLING CO.,11/2/16,,24,,184,,1,,,0,55,,32,,0,11,6,2,1,5,0,1,0,0,90320,9,1,,4,,6,600,Foreign Sovereign Immunities Act of 1976,110,111,1,8,0,112,SAAlito,1,1,1,2,,
2016-010,2016-010-01,2016-010-01-01,2016-010-01-01-01-07,5/1/17,1,,137 S. Ct. 1312,197 L. Ed. 2d 663,2017 U.S. LEXIS 2802,2016,1706,Roberts,15-423,BOLIVARIAN REPUBLIC OF VENEZUELA  v. HELMERICH & PAYNE INTERNATIONAL DRILLING CO.,11/2/16,,24,,184,,1,,,0,55,,32,,0,11,6,2,1,5,0,1,0,0,90320,9,1,,4,,6,600,Foreign Sovereign Immunities Act of 1976,110,111,1,8,0,113,SSotomayor,1,1,1,2,,
2016-010,2016-010-01,2016-010-01-01,2016-010-01-01-01-08,5/1/17,1,,137 S. Ct. 1312,197 L. Ed. 2d 663,2017 U.S. LEXIS 2802,2016,1706,Roberts,15-423,BOLIVARIAN REPUBLIC OF VENEZUELA  v. HELMERICH & PAYNE INTERNATIONAL DRILLING CO.,11/2/16,,24,,184,,1,,,0,55,,32,,0,11,6,2,1,5,0,1,0,0,90320,9,1,,4,,6,600,Foreign Sovereign Immunities Act of 1976,110,111,1,8,0,114,EKagan,1,1,1,2,,
2016-010,2016-010-01,2016-010-01-01,2016-010-01-01-01-09,5/1/17,1,,137 S. Ct. 1312,197 L. Ed. 2d 663,2017 U.S. LEXIS 2802,2016,1706,Roberts,15-423,BOLIVARIAN REPUBLIC OF VENEZUELA  v. HELMERICH & PAYNE INTERNATIONAL DRILLING CO.,11/2/16,,24,,184,,1,,,0,55,,32,,0,11,6,2,1,5,0,1,0,0,90320,9,1,,4,,6,600,Foreign Sovereign Immunities Act of 1976,110,111,1,8,0,115,NMGorsuch,,,,,,
2016-013,2016-013-01,2016-013-01-01,2016-013-01-01-01-01,5/1/17,1,,137 S. Ct. 1296,197 L. Ed. 2d 678,2017 U.S. LEXIS 2801,2016,1706,Roberts,15-1111,"BANK OF AMERICA CORP. v. CITY OF MIAMI, FLORIDA",11/8/16,,113,,3,12,1,,,0,58,,31,,0,11,3,2,1,5,0,1,0,0,90280,9,2,0,4,,3,342,NA,110,111,1,5,3,111,JGRoberts,1,1,2,2,0,0
2016-013,2016-013-01,2016-013-01-01,2016-013-01-01-01-02,5/1/17,1,,137 S. Ct. 1296,197 L. Ed. 2d 678,2017 U.S. LEXIS 2801,2016,1706,Roberts,15-1111,"BANK OF AMERICA CORP. v. CITY OF MIAMI, FLORIDA",11/8/16,,113,,3,12,1,,,0,58,,31,,0,11,3,2,1,5,0,1,0,0,90280,9,2,0,4,,3,342,NA,110,111,1,5,3,106,AMKennedy,2,1,1,1,108,0
2016-013,2016-013-01,2016-013-01-01,2016-013-01-01-01-03,5/1/17,1,,137 S. Ct. 1296,197 L. Ed. 2d 678,2017 U.S. LEXIS 2801,2016,1706,Roberts,15-1111,"BANK OF AMERICA CORP. v. CITY OF MIAMI, FLORIDA",11/8/16,,113,,3,12,1,,,0,58,,31,,0,11,3,2,1,5,0,1,0,0,90280,9,2,0,4,,3,342,NA,110,111,1,5,3,108,CThomas,2,2,1,1,0,0
