caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,justiceName,vote,opinion,direction,majority,firstAgreement,secondAgreement
2015-001,2015-001-01,2015-001-01-01,2015-001-01-01-01-01,12/1/15,1,,136 S. Ct. 390,193 L. Ed. 2d 269,2015 U.S. LEXIS 7670,2015,1704,Roberts,13-1067,OBB PERSONENVERKEHR AG v. SACHS,10/5/15,,24,,208,,1,,,0,50,,29,,1,12,3,2,1,3,0,1,0,0,80060,8,1,0,4,,6,600,Foreign Sovereign Immunities Act,111,111,1,9,0,111,JGRoberts,1,2,1,2,,
2015-001,2015-001-01,2015-001-01-01,2015-001-01-01-01-02,12/1/15,1,,136 S. Ct. 390,193 L. Ed. 2d 269,2015 U.S. LEXIS 7670,2015,1704,Roberts,13-1067,OBB PERSONENVERKEHR AG v. SACHS,10/5/15,,24,,208,,1,,,0,50,,29,,1,12,3,2,1,3,0,1,0,0,80060,8,1,0,4,,6,600,Foreign Sovereign Immunities Act,111,111,1,9,0,105,AScalia,1,1,1,2,,
2015-001,2015-001-01,2015-001-01-01,2015-001-01-01-01-03,12/1/15,1,,136 S. Ct. 390,193 L. Ed. 2d 269,2015 U.S. LEXIS 7670,2015,1704,Roberts,13-1067,OBB PERSONENVERKEHR AG v. SACHS,10/5/15,,24,,208,,1,,,0,50,,29,,1,12,3,2,1,3,0,1,0,0,80060,8,1,0,4,,6,600,Foreign Sovereign Immunities Act,111,111,1,9,0,106,AMKennedy,1,1,1,2,,
2015-001,2015-001-01,2015-001-01-01,2015-001-01-01-01-04,12/1/15,1,,136 S. Ct. 390,193 L. Ed. 2d 269,2015 U.S. LEXIS 7670,2015,1704,Roberts,13-1067,OBB PERSONENVERKEHR AG v. SACHS,10/5/15,,24,,208,,1,,,0,50,,29,,1,12,3,2,1,3,0,1,0,0,80060,8,1,0,4,,6,600,Foreign Sovereign Immunities Act,111,111,1,9,0,108,CThomas,1,1,1,2,,
2015-001,2015-001-01,2015-001-01-01,2015-001-01-01-01-05,12/1/15,1,,136 S. Ct. 390,193 L. Ed. 2d 269,2015 U.S. LEXIS 7670,2015,1704,Roberts,13-1067,OBB PERSONENVERKEHR AG v. SACHS,10/5/15,,24,,208,,1,,,0,50,,29,,1,12,3,2,1,3,0,1,0,0,80060,8,1,0,4,,6,600,Foreign Sovereign Immunities Act,111,111,1,9,0,109,RBGinsburg,1,1,1,2,,
2015-001,2015-001-01,2015-001-01-01,2015-001-01-01-01-06,12/1/15,1,,136 S. Ct. 390,193 L. Ed. 2d 269,2015 U.S. LEXIS 7670,2015,1704,Roberts,13-1067,OBB PERSONENVERKEHR AG v. SACHS,10/5/15,,24,,208,,1,,,0,50,,29,,1,12,3,2,1,3,0,1,0,0,80060,8,1,0,4,,6,600,Foreign Sovereign Immunities Act,111,111,1,9,0,110,SGBreyer,1,1,1,2,,
2015-001,2015-001-01,2015-001-01-01,2015-001-01-01-01-07,12/1/15,1,,136 S. Ct. 390,193 L. Ed. 2d 269,2015 U.S. LEXIS 7670,2015,1704,Roberts,13-1067,OBB PERSONENVERKEHR AG v. SACHS,10/5/15,,24,,208,,1,,,0,50,,29,,1,12,3,2,1,3,0,1,0,0,80060,8,1,0,4,,6,600,Foreign Sovereign Immunities Act,111,111,1,9,0,112,SAAlito,1,1,1,2,,
2015-001,2015-001-01,2015-001-01-01,2015-001-01-01-01-08,12/1/15,1,,136 S. Ct. 390,193 L. Ed. 2d 269,2015 U.S. LEXIS 7670,2015,1704,Roberts,13-1067,OBB PERSONENVERKEHR AG v. SACHS,10/5/15,,24,,208,,1,,,0,50,,29,,1,12,3,2,1,3,0,1,0,0,80060,8,1,0,4,,6,600,Foreign Sovereign Immunities Act,111,111,1,9,0,113,SSotomayor,1,1,1,2,,
2015-001,2015-001-01,2015-001-01-01,2015-001-01-01-01-09,12/1/15,1,,136 S. Ct. 390,193 L. Ed. 2d 269,2015 U.S. LEXIS 7670,2015,1704,Roberts,13-1067,OBB PERSONENVERKEHR AG v. SACHS,10/5/15,,24,,208,,1,,,0,50,,29,,1,12,3,2,1,3,0,1,0,0,80060,8,1,0,4,,6,600,Foreign Sovereign Immunities Act,111,111,1,9,0,114,EKagan,1,1,1,2,,
2015-002,2015-002-01,2015-002-01-01,2015-002-01-01-01-01,3/22/16,5,,136 S. Ct. 1072,194 L. Ed. 2d 163,2016 U.S. LEXIS 2133,2015,1705,Roberts,14-520,HAWKINS v. COMMUNITY BANK OF RAYMORE,10/5/15,,,,113,,1,,,0,86,,28,,0,12,,,1,2,0,0,0,0,,,,0,,,9,900,NA,,,1,4,4,111,JGRoberts,8,1,,,,
2015-002,2015-002-01,2015-002-01-01,2015-002-01-01-01-02,3/22/16,5,,136 S. Ct. 1072,194 L. Ed. 2d 163,2016 U.S. LEXIS 2133,2015,1705,Roberts,14-520,HAWKINS v. COMMUNITY BANK OF RAYMORE,10/5/15,,,,113,,1,,,0,86,,28,,0,12,,,1,2,0,0,0,0,,,,0,,,9,900,NA,,,1,4,4,106,AMKennedy,8,1,,,,
